"","DHSID","lat","long","base_WI_no_elec_m","n","dhsID_year","cnn_3q_42_ENS_pred","year","survey_year","row_num","treated_unit","treat_year","treated_id"
"174","UG200600000029",-0.291423,31.391554,-0.888036832303987,23,"UG200600000029_2008",-1.76133847237,"2008","2006","23",0,0,0
"175","UG200600000029",-0.291423,31.391554,-0.888036832303987,23,"UG200600000029_2013",-2.43745040894,"2013","2006","23",0,1,0
"177","UG200600000029",-0.291423,31.391554,-0.888036832303987,23,"UG200600000029_2006",-1.31460916996,"2006","2006","23",0,0,0
"180","UG200600000029",-0.291423,31.391554,-0.888036832303987,23,"UG200600000029_2009",-1.422519207,"2009","2006","23",0,0,0
"182","UG200600000029",-0.291423,31.391554,-0.888036832303987,23,"UG200600000029_2011",-2.29053044319,"2011","2006","23",0,1,0
"183","UG200600000029",-0.291423,31.391554,-0.888036832303987,23,"UG200600000029_2012",-1.62821555138,"2012","2006","23",0,1,0
"184","UG200600000029",-0.291423,31.391554,-0.888036832303987,23,"UG200600000029_2016",-2.04869842529,"2016","2006","23",0,1,0
"185","UG200600000029",-0.291423,31.391554,-0.888036832303987,23,"UG200600000029_2015",-0.979608178139,"2015","2006","23",0,1,0
"187","UG200600000029",-0.291423,31.391554,-0.888036832303987,23,"UG200600000029_2014",-2.40561914444,"2014","2006","23",0,1,0
"188","UG200600000030",-0.145982,31.435004,-1.20675292197908,26,"UG200600000030_2011",-1.86903500557,"2011","2006","24",0,1,0
"192","UG200600000030",-0.145982,31.435004,-1.20675292197908,26,"UG200600000030_2008",-1.55244350433,"2008","2006","24",0,0,0
"193","UG200600000030",-0.145982,31.435004,-1.20675292197908,26,"UG200600000030_2012",-0.855562806129,"2012","2006","24",0,1,0
"195","UG200600000030",-0.145982,31.435004,-1.20675292197908,26,"UG200600000030_2010",-0.411327898502,"2010","2006","24",0,0,0
"196","UG200600000030",-0.145982,31.435004,-1.20675292197908,26,"UG200600000030_2013",-2.17768001556,"2013","2006","24",0,1,0
"197","UG200600000030",-0.145982,31.435004,-1.20675292197908,26,"UG200600000030_2014",-2.33777570724,"2014","2006","24",0,1,0
"198","UG200600000030",-0.145982,31.435004,-1.20675292197908,26,"UG200600000030_2016",-1.014498353,"2016","2006","24",0,1,0
"200","UG200600000030",-0.145982,31.435004,-1.20675292197908,26,"UG200600000030_2015",-0.166690334678,"2015","2006","24",0,1,0
"201","UG200600000030",-0.145982,31.435004,-1.20675292197908,26,"UG200600000030_2007",-1.48177731037,"2007","2006","24",0,0,0
"203","UG200600000030",-0.145982,31.435004,-1.20675292197908,26,"UG200600000030_2009",-1.40775871277,"2009","2006","24",0,0,0
"204","UG200600000030",-0.145982,31.435004,-1.20675292197908,26,"UG200600000030_2006",-0.650214850903,"2006","2006","24",0,0,0
"210","UG200600000032",0.431351,32.282401,-0.841400412601112,24,"UG200600000032_2008",-1.5118240118,"2008","2006","26",0,0,0
"211","UG200600000032",0.431351,32.282401,-0.841400412601112,24,"UG200600000032_2016",-1.71636557579,"2016","2006","26",0,1,0
"212","UG200600000032",0.431351,32.282401,-0.841400412601112,24,"UG200600000032_2010",-1.85257315636,"2010","2006","26",0,0,0
